"HomeTeam","AwayTeam",HF,AF,HC,AC,HTHG,HTAG,RedsPerGame,YellowsPerGame,FaulesPerGame,AwayRedsPerGame,AwayYellowsPerGame,AwayFaulesPerGame,WinsPerGame,AwayWinsPerGame,Paciencia
"Crystal Palace","Man United",16,10,2,6,0,1,0.0368,1.7263,12.0526,0.0604,1.5062,11.1223,0.3158,0.6362,0.1546
"Man City","Watford",16,20,1,4,1,0,0.0855,1.6201,11.5378,0.0921,1.7632,13.0263,0.4951,0.2566,0.1614
"Middlesbrough","Liverpool",11,14,1,2,0,1,0.0822,1.6875,12.9178,0.0604,1.3607,10.9412,0.2632,0.5217,0.1610
"Stoke","Southampton",9,10,3,4,0,0,0.0789,1.8105,11.7605,0.0737,1.3816,11.9921,0.3053,0.3421,0.1677
"Sunderland","Chelsea",15,10,3,8,0,1,0.0959,1.8233,12.2895,0.0882,1.6115,11.1981,0.2387,0.5913,0.1633
"Tottenham","Hull",6,14,0,2,1,0,0.0743,1.4907,11.2771,0.1263,1.7368,12.2526,0.4644,0.2158,0.1594
"West Brom","Swansea",8,8,0,0,0,0,0.0622,1.6196,11.3469,0.0526,1.3910,9.9135,0.2536,0.3083,0.1505
"West Ham","Burnley",12,15,0,2,1,0,0.0789,1.7491,11.8281,0.0395,1.6513,10.6316,0.3123,0.2632,0.1516
"Crystal Palace","Chelsea",12,15,2,7,0,1,0.0368,1.7263,12.0526,0.0882,1.6115,11.1981,0.3158,0.5913,0.1610
"Middlesbrough","Swansea",10,11,1,2,2,0,0.0822,1.6875,12.9178,0.0526,1.3910,9.9135,0.2632,0.3083,0.1633
"Stoke","Leicester",9,12,2,10,2,0,0.0789,1.8105,11.7605,0.1015,1.5451,11.8872,0.3053,0.3120,0.1546
"Sunderland","Watford",10,9,1,4,0,0,0.0959,1.8233,12.2895,0.0921,1.7632,13.0263,0.2387,0.2566,0.1516
"West Brom","Man United",9,13,3,9,0,1,0.0622,1.6196,11.3469,0.0604,1.5062,11.1223,0.2536,0.6362,0.1677
"West Ham","Hull",13,9,2,8,0,0,0.0789,1.7491,11.8281,0.1263,1.7368,12.2526,0.3123,0.2158,0.1450
"Bournemouth","Southampton",6,12,0,2,1,1,0.0439,1.3860,9.3421,0.0737,1.3816,11.9921,0.2982,0.3421,0.1526
"Man City","Arsenal",9,13,4,10,0,1,0.0855,1.6201,11.5378,0.0882,1.5186,11.0464,0.4951,0.5728,0.1564
"Tottenham","Burnley",10,11,1,4,1,1,0.0743,1.4907,11.2771,0.0395,1.6513,10.6316,0.4644,0.2632,0.1614
"Everton","Liverpool",13,9,3,7,0,0,0.0851,1.5139,12.1517,0.0604,1.3607,10.9412,0.3824,0.5217,0.1695
"Arsenal","West Brom",11,7,2,5,0,0,0.0882,1.5186,11.0464,0.0622,1.6196,11.3469,0.5728,0.2536,0.1633
